Código,Cotação,P/L,P/VP,RSR,DY,P/Ativo,P/Cap.Giro,P/EBIT,P/ACL,EV/EBITDA,EV/EBIT,Mrg.Liq,Lig.Corr,ROIC,ROE,Liquidez 2 meses,Patrimonio Líquido,Dív. Bruta/Patrimonio,Cresc. Rec. 5a
WEST3,"8,00","-8,97","0,40","0,589","0,00%","0,289","0,76","-2,14","0,91","0,52","0,79","-27,56%","-6,57%","2,72","-28,86%","-4,50%","208.239,00","220.337.000,00","0,05","-17,22%"
TERI3,"64,28","-8,83","0,29","0,107","0,00%","0,081","7,90","7,20","-0,26","39,56","39,56","1,49%","-1,91%","1,03","1,25%","-3,27%","0,00","3.641.000.000,00","1,43","7,94%"
MNDL3,"19,00","-8,58","1,40","0,185","0,00%","0,130","-1,05","1,76","-0,27","6,79","5,88","10,49%","-2,16%","0,77","7,99%","-16,34%","23.247,20","134.482.000,00","4,03","10,72%"
SEMP3,"16,86","-8,12","1,36","15,081","0,00%","1,201","15,67","-4,42","15,67","-4,07","-4,07","-340,98%","-185,82%","1,64","-30,21%","-16,81%","0,00","118.441.000,00","0,00","-10,37%"
MSPA4,"41,00","-8,03","0,32","1,483","0,00%","0,183","21,88","-15,41","-0,53","-25,89","49,81","-9,62%","-18,47%","1,10","-1,23%","-4,03%","0,00","811.958.000,00","0,25","2,05%"
CRPG3,"18,10","-7,88","0,92","0,662","0,00%","0,566","1,71","-7,69","2,22","-4,93","-9,34","-8,61%","-8,40%","2,07","-13,38%","-11,69%","126,95","570.068.000,00","0,01","-5,57%"
SZPQ4,"6,64","-7,85","2,20","0,855","0,00%","0,744","2,62","-20,31","-3,17","-22,77","-22,77","-4,21%","-10,89%","2,97","-3,77%","-28,00%","0,00","684.467.000,00","0,30","-11,71%"
NATU3,"10,19","-7,85","1,08","0,642","0,00%","0,483","2,90","4,95","-3,71","6,19","4,81","12,95%","-8,18%","1,65","13,21%","-13,76%","83.526.100,00","12.976.700.000,00","0,48","1,54%"
CRPG6,"17,89","-7,79","0,91","0,655","0,00%","0,560","1,69","-7,61","2,20","-4,85","-9,17","-8,61%","-8,40%","2,07","-13,38%","-11,69%","3.100,38","570.068.000,00","0,01","-5,57%"
CRPG5,"17,65","-7,69","0,90","0,646","0,00%","0,552","1,67","-7,50","2,17","-4,74","-8,98","-8,61%","-8,40%","2,07","-13,38%","-11,69%","43.588,90","570.068.000,00","0,01","-5,57%"
UCAS3,"1,34","-7,67","0,49","0,371","0,00%","0,213","2,21","-5,04","-0,83","-10,75","509,81","-7,36%","-4,83%","1,46","-5,01%","-6,40%","40.477,00","180.413.000,00","0,86","0,79%"
MEDI3,"11,55","-7,52","1,89","0,374","0,00%","0,824","-10,02","-9,11","-3,31","-6,61","-6,61","-4,11%","-4,98%","0,79","-12,30%","-25,13%","0,00","426.164.000,00","0,02","13,02%"
RAPT4,"5,31","-7,41","0,57","0,141","0,00%","0,097","0,34","1,66","-0,45","6,59","4,56","8,52%","-0,45%","2,16","8,15%","-7,76%","28.843.300,00","3.232.960.000,00","2,97","8,45%"
RAPT3,"5,26","-7,34","0,57","0,140","0,00%","0,096","0,34","1,64","-0,44","6,58","4,55","8,52%","-0,45%","2,16","8,15%","-7,76%","151.701,00","3.232.960.000,00","2,97","8,45%"
AMAR3,"0,85","-7,28","1,95","0,294","0,00%","0,212","-1,21","2,49","-0,34","6,81","3,46","11,82%","-4,04%","0,61","10,39%","-26,76%","119.820,00","224.157.000,00","3,59","-16,01%"
TCNO3,"1,20","-6,81","-8,40","0,000","0,00%","0,034","-0,08","-2,87","-0,04","-15,11","-17,45","0,00%","0,00%","0,28","-1,59%","123,36%","0,00","-946.000,00","-35,76","-32,39%"
BLUT3,"5,14","-5,63","0,46","0,000","0,00%","0,138","-0,76","-42,93","-0,20","-53,97","-53,97","0,00%","0,00%","0,00","-0,33%","-8,24%","3.091,81","56.569.000,00","0,12","0,00%"
AALR3,"2,97","-5,62","0,42","0,365","0,00%","0,149","103,48","5,24","-0,41","9,45","4,88","6,96%","-5,70%","1,01","3,13%","-7,54%","320.966,00","1.066.930.000,00","0,46","2,34%"
BUET3,"24,99","-5,46","-0,97","1,961","0,00%","0,572","-0,67","-13,13","-0,39","-22,60","-36,32","-14,93%","-35,93%","0,11","-5,95%","17,79%","0,00","-124.674.000,00","-0,70","4,55%"
TLCP3,"48,00","-5,02","1,76","0,824","0,00%","0,533","-2,76","-26,61","-1,33","-43,86","-43,86","-3,10%","-16,40%","0,61","-2,52%","-35,04%","0,00","262.979.000,00","1,21","9,09%"
